Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number
Gd70Al20Fe10,7.1 - 8.7,5 T,151 - 114,1397,2039
Gd70Al20Fe2Co8,7.1 - 8.7,5 T,134,1397,2040
Gd70Al20Fe4Co6,7.1 - 8.7,5 T,126,1397,2041
Gd70Al20Fe6Co4,7.1 - 8.7,5 T,120,1397,2042
Gd70Al20Fe8Co2,7.1 - 8.7,5 T,114,1397,2043
Ni50Co2Mn35In13,21.6,1.5 T,,1398,5443
Sm0.6Sr0.25Mn0.85Ti0.15O3,2.1,14 T,,1404,6053
Sm0.6Sr0.3Mn0.9Ti0.1O3,2.82,14 T,,1404,6054
Sm0.6Sr0.4Mn1O3,8.03,14 T,,1404,6056
Ba2FeMo0.7W0.3O6,1.483,2.5 T,,1405,372
FeCoNiCr,0.5(emu/g),20.0 T,104,1406,1452
FeCoNiCrAl,25(emu/g),nan T,277,1406,1453
FeCoNiCrGa,38(emu/g),nan T,703,1406,1455
DyNi2Mn(Fe-57),4,0-5 T,99,1407,853
Ce(Fe0.93Ru0.07)2,7.8,2 T,110,1410,427
La0.65Ca0.30Pb0.05Mn0.9Cu0.1O3,3.2,1 T,223,1411,2910
La0.65Ca0.30Pb0.05MnO3,2.6,1 T,286,1411,2911
La0.65Ca0.35MnO3,4.1,1 T,273,1411,2920
Gd1-xCexAl2 (x=0),3.82,2 T,163,1413,1662
Gd1-xCexAl2 (x=0.75),2.04,2 T,37,1413,1663
La0.6Ca0.4MnO3,Modest,0-3 T,260,1414,3122
Ho5Ga2.6Co0.4,-12.7,,,1415,2390
La0.7Ca0.2Ba0.1MnO3,5.95 (Delta H = 45 kOe),45 kOe,,1417,3310
La0.7Ca0.2Ba0.1MnO3,3.82 (Delta H = 20 kOe),20 kOe,,1417,3311
Pr2CoMnO6 (PCMO),3.91,7 T,170,1418,5912
Pr2NiMnO6 (PNMO),3.15,7 T,208,1418,5939
(La0.47Gd0.2)Sr0.33MnO3,2.02 and 3.90 (at 5 T),5 T,285.1 and 285.9,1419,124
MnFeP1-xSix,13-7?,2 T,210-360,1420,4726
Fe-doped Gd-rich microwires,10.33,5 T,121.8,1421,1194
DyFe1-xMnxO3 (x=0),18.2,7 T, N/A,1422,824
DyFe1-xMnxO3 (x=0.025),18.2,7 T, N/A,1422,825
DyFe1-xMnxO3 (x=0.075),18.2,7 T, N/A,1422,826
DyFe1-xMnxO3 (x=0.15),18.2,7 T, N/A,1422,827
La0.7Ca0.1Pb0.2Mn0.95Al0.025Sn0.025O3,,nan T,302.12,1423,3299
La0.67Ca0.33MnO3,Predicted values available,0.05 T,,1424,3031
La0.67Sr0.33MnO3,Predicted values available,0.05 T,,1424,3078
Gd-Al-Co-Fe microfibers (annealed at 90 mA),12.77,5 T,,1425,1584
Er11Co4In9,14.28,0-9 T,,1427,902
Tb11Co4In9,5.51,0-9 T,,1427,6202
La1.0Pr0.4Ca1.6Mn2O7,6.16,2.5 T, N/A,1428,3807
La1.1Pr0.3Ca1.6Mn2O7,6.16,2.5 T, N/A,1428,3809
HoNi0.7Cu0.3In,20.2,5.0 T,,1429,2508
HoNi0.7Cu0.3In,356.7,5.0 T,,1429,2509
HoNi0.9Cu0.1In,125,2.0 T,,1429,2513
Mix of HoNi0.9Cu0.1In and HoNi0.7Cu0.3In with mass ratio 1:1,149,2.0 T,,1429,4248
Fe73.2Pd26.8 ribbon,1.04,1.5 T,553,1434,1328
Ni43Mn45.25V0.75Sn11,26.3,3 T,,1436,5215
Ni43Mn45.75V1.25Sn11,36.1,3 T,,1436,5217
Ni43Mn46Sn11,15.4,3 T,,1436,5223
Er2In0.8Al0.2,16.9,7 T,,1441,926
SmNi3CoB,-0.49,0-50 kOe,90,1442,6096
SmNi3CuB,-0.54,0-50 kOe,60,1442,6098
SmNi3FeB,-0.54,0-50 kOe,320,1442,6100
SmNi3MnB,-1.5,0-50 kOe,205,1442,6102
SmNi4B,-0.94,0-50 kOe,40,1442,6104
GdCo3B2,5,2 T,54 (Gd-Gd ordering),1443,2100
GdCo3B2,11.6,7 T,,1443,2101
DyCoNi,15.5,7.0 T,68,1444,807
Fe87Zr7B4Dy2,0,,342,1445,1411
Fe87Zr7B4Gd2,0,,342,1445,1412
Fe87Zr7B4Tb2,0,,342,1445,1413
Gd5Si2-yGe2Sny (y=0.1),15.3,0-5 T,,1448,1936
La0.8Ce0.2Fe10.8Co0.7Si-1.5,4.56,,912,1449,3645
La0.8Ce0.2Fe11.0Co0.5Si-1.5,3.45,,901,1449,3648
La0.8Ce0.2Fe11.2Co0.3Si-1.5,,,890,1449,3649
Gd65Co15Al10Zr10,5.4,5 T,,1450,1999
Pr0.8Bi0.2MnO3,0.7 - 2.1,5 T,,1452,5882
Mn1.1Fe0.9P0.8Ge0.2,61.8,5 T,251,1454,4408
Ca0.85Dy0.15MnO3,1.126,,111,1455,405
Co85.5Sn4.5Zr10 (amorphous),Larger than crystalline samples,,> 700,1459,536
Co85.5Sn4.5Zr10 (crystalline),,,> 700,1459,537
Amorphous TbCuAl,4.5,,,1461,333
Crystalline TbCuAl,14.4,,,1461,615
CoFeNi0.5Cr0.5-Al-1.0,0.22,1.0 T,,1462,553
CoFeNi0.5Cr0.5-Al-1.0,17.1,1.0 T,,1462,554
Fe85Y5Zr10 (annealed),1.47,,,1463,1393
Fe85Y5Zr10 (as-quenched),0.9,,,1463,1394
Fe86Y5Zr9 (annealed),1.22,,,1463,1401
Fe86Y5Zr9 (as-quenched),0.89,,,1463,1402
CrOCl,4.31,nan kOe,14,1464,606
MnV0.02CoGe0.99,0.9,10 kOe,252,1465,4755
Gd5Si2Ge2,7.25,0-5 T,303,1467,1950
Pr0.5Sr0.5-0.05Li0.05MnO3,-1.05,15.0 kOe,275,1468,5731
Pr0.5Sr0.5-0.1Li0.1MnO3,-1.48,15.0 kOe,285,1468,5733
Pr0.5Sr0.5-0.2Li0.2MnO3,-2.17,15.0 kOe,290,1468,5734
Pr0.5Sr0.5-0.3Li0.3MnO3,2.64,15.0 kOe,235,1468,5735
Pr0.5Sr0.5-0Li0MnO3,-1.03,15.0 kOe,260,1468,5737
Ni50Mn34In14Fe2,26.5 (at 5 T)or 53.6 (at 8 T),Up to 8 T,,1469,5485
HoFeWO6,5,70 kOe,17,1470,2484
Er60Ni30Co10,12.1,0-5 T,11.5,1471,964
La0.6Bi0.1Sr0.25Ca0.05Mn0.9Cu0.O-1(3),3.65,5 T,290-320,1476,3103
La0.7Sr0.3Mn0.9Cu0.O-1(3),3.06,5 T,290-320,1476,3488
La0.7Sr0.3Mn0.9Cu0.O-1(3),3.39,5 T,290-320,1476,3489
La0.85Ag0.15MnO3,5.85 or 5.80,5 T,Increases with pressure with the rate dT(C)/dp = 14.2 K/GPa,1477,3573
CoFeCuO4,0.6,5 T,688,1478,551
Ni45Co5Mn38Sb12,41.4,nan T,,1480,5290
GdTbHoErY high-entropy alloy,5.4,5 T,,1484,2230
Tm3Co,19.9,5 T,4.5 and 6.5,1485,6368
ErMnO3,10.57,50 kOe,,1488,1027
Nd1-3xBax Ca-x SrxMnO3(x=0.11),1.68,3 T,120,1492,4845
Nd1-3xBax Ca-x SrxMnO3(x=0.133),4.11,3 T,145,1492,4846
Ni54Mn19Ga27 (5 h),5.4,2 T,286,1497,5580
Ni54Mn19Ga27 (As prepared),2.4,2 T,286,1497,5581
Mn2FeSbO6 (mineral),1.7,5 T,270,1499,4466
Mn2FeSbO6 (synthetic),1.8,5 T,270,1499,4467
Mn0.88Fe0.12CoGe,16.5,5 T,,1500,4298
Sm0.52Sr0.48MnO3,5.9,1 T,124,1501,6045
Sr1.7La0.3FeMoO6,,nan T,365,1502,6120
Sr1.8La0.2FeMoO6,,nan T,362-365,1502,6122
Sr1.9La0.1FeMoO6,,nan T,360-365,1502,6126
Sr2FeMoO6,,nan T,358-365,1502,6139
ErRu1.7Cr0.3Si2,15.9,50 kOe,,1503,1058
Ni-Co-Mn-In alloys,62.17 (at 3 T),3 T,,1504,4992
Ni-Co-Mn-In alloys,136.16 (at 7 T),7 T,,1504,4993
Ho2CoMnO6,3.4,7 T,69,1505,2328
Ho2FeMnO6,10.2,7 T,7.5,1505,2345
Ho2NiMnO6,4.7,7 T,71.5,1505,2355
Gd5Si2Ge2 (32h),0.45,2 T,,1506,1957
La0.67Sr0.1Ca0.23MnO3,5.971,5 T,,1509,3057
Ho3Co,-14.5,0-5 T,21,1510,2373
Tb2In,6.6,,,1513,6219
Tb2In0.6Al0.4,10.6,,,1513,6221
Fe0.75Mn1.35As,4.2,5 T,165,1514,1212
Ho1.95Mn0.05O3,14.2,20 kOe,,1515,2309
Ho1.9Mn0.1O3,8.64,20 kOe,,1515,2310
CoCr2O4,-0.87,6 T,96,1516,542
La0.75Ca0.08Sr0.17Mn1-0.2Fe0.2,0.95,5.0 T,,1518,3215
La0.75Ca0.08Sr0.17Mn1-0Fe0,5.205,5.0 T,,1518,3216
Dy2Co2Al,-6.6,50 kOe,58,1519,703
Gd2Co2Al,-10.4,50 kOe,78,1519,1713
Tb2Co2Al,-7.6,50 kOe,98,1519,6211
MnCoGe,-2.8(-4.0),5 T,,1525,4674
Ni50Mn33.13In13.90,28.6,5 T,,1526,5470
Ni50Mn33.13In13.90,6.6,5 T,,1526,5471
GaCMn2.9Ni0.1,,48 kOe,310,1530,1493
HoNi2,-16.9 to -27.2,2 to 5 T,13.9,1535,2514
DyNi0.67Si1.34,-16.1,70 kOe,,1537,849
PrSr0.7Pb0.3Mn2O6,3.52,,286,1538,5988
PrSr0.8Pb0.2Mn2O6,3.11,,282,1538,5989
PrSr0.9Pb0.1Mn2O6,2.78,,274,1538,5990
Fe86Zr11B1Co2,1.73,15 kOe,,1539,1403
LaFe13-xSix (x=1.4),,,182,1541,4132
LaFe13-xSix (x=1.6),,,215,1541,4133
LaFe13-xSix (x=1.8),,,250,1541,4134
LaFe13-xSix (x=2.0),,,280,1541,4135
LaFe10.95Co0.65Si1.4C0.15 (0-day),8.1,,289,1542,3929
LaFe10.95Co0.65Si1.4C0.15 (21-day),,,314,1542,3930
La0.7Ca0.3MnO3,1.9,5 T,155,1547,3369
La0.84Sr0.16MnO3,3.03,5 T,255,1547,3571
MnFeP0.63Si0.26Ge0.11,27.9,2 T,318,1552,4722
GdFe2Si2,30.01,0-7 T,,1553,2137
(Mn0.9Fe0.1)(5)Ge-3,8.01,5 T,,1555,200
SmFe0.5Mn0.5O3,5.6,70 kOe,234,1557,6079
Fe88La4Ce3B5,3.93,5 T,,1558,1423
Tm20Ho20Gd20Ni20Al20,9.4,5 T,30.3,1559,6358
La0.7Ca0.1Pb0.2Mn0.825Al0.175Sn0.075O3,2,5 T,,1562,3296
La0.7Ca0.1Pb0.2Mn0.85Al0.15O3,2.3,5 T,,1562,3297
La0.7Ca0.1Pb0.2Mn0.925Al0.025Sn0.050O3,2.7,5 T,,1562,3298
La0.7Ca0.1Pb0.2Mn0.9Al0.1O3,3.7,5 T,,1562,3300
La0.65Ca0.35-0.15MnO3,,nan T,228,1567,2915
Mn1.1Fe0.9P0.80Ge0.20,>74,nan T,,1568,4407
La-0.7(CaSr)(0).3Mn1-Ga0 (x = 0),5.15,5 T,,1569,2675
La-0.7(CaSr)(0).3Mn1-Ga0.1 (x = 0.1),1.86,5 T,,1569,2676
Fe80.5Nb7B12.5,0.72,0.7 T,363,1570,1369
Gd60Al20Co20 metallic glass,10.1,5 T,,1572,1972
LaFe11.2Co0.7Si1.1C0.1,14.5,5.0 T,,1574,3953
LaFe11.2Co0.7Si1.1C0.2,9.8,5.0 T,,1574,3955
LaFe11.2Co0.7Si1.1C0.3,8.3,5.0 T,,1574,3956
Ni47Mn38Fe2In13,51.2,50 kOe,,1575,5350
Ni47Mn39Fe1In13,22,50 kOe,,1575,5353
La0.7-xCexSr0.30MnO3,2.12,2 T,356,1576,3187
ErNi2,,Up to 11 T,6.5,1578,1039
HoNi2,,Up to 11 T,13.5,1578,2515
Gd20Ho20Tm20Cu20Ni20,13.9,0-7 T T,,1579,1693
Tb12Co7,3.08,2 T,100,1580,6203
Sm2Co2Al,-1.62,50 kOe,50 and 14,1581,6065
Sm2Co2Ga,-1.31,50 kOe,62 and 16,1581,6066
Gd0.95Nb0.05,3.99,1.5 T,,1582,1648
Gd0.95Nb0.05,4.09,1.5 T,,1582,1649
PdAs2O6,1.72(J/mol K),nan T,140,1583,5647
LaFe16-xCoxSi1.4 (x=0.1),,nan T,207,1584,4138
LaFe16-xCoxSi1.4 (x=0.8),,nan T,285,1584,4139
-5.2 (at 52 K) +6.5 (at 13 K),80,50 kOe,42,1587,263
Mn3Ga1-xFexN(x=0),9.2,,,1589,4490
Mn3Ga1-xFexN(x=0.05),8.2,,,1589,4491
Mn3Ga1-xFexN(x=0.10),4.7,,,1589,4492
LaFe11.1Cr0.4Si1.5,13.6,2 T,,1590,3944
LaFe11.2Cr0.3Si1.5,17,2 T,,1590,3958
LaFe11.4Cr0.1Si1.5,18,2 T,,1590,3972
Ni45Co5Mn37In12Si1,9.3,5 T,Above 396,1591,5286
Er60Co20Al20,15.57,5 T,10.3,1592,962
Ho60Co20Al20,14.16,5 T,22.3,1592,2403
Tm60Co20Al20,15.06,5 T,5,1592,6375
Ni43Cu7Mn39Sn11,11,2 T,,1593,5202
La0.70Sr0.30Mn0.90Ti0.10O3,,1 and 5 T,210,1594,3202
Gd3Fe4Si,,nan T,T-1 = 57/ T-2 = 72/ T-3 = 225/ T-4 = 295,1595,1788
Gd-6(Mn1-xCox)(23) x = 0,,9 T,489,1596,1580
Gd-6(Mn1-xCox)(23) x = 0.3,,9 T,118,1596,1581
Nd5Ge2.5Si0.5,6,7 T,,1598,4875
Nd5Ge2Si,6,7 T,,1598,4876
Nd5Si2.5Ge0.5,3.9,7 T,123,1598,4877
Nd5Si3,4.3,7 T,112,1598,4879
Mn45Co5Ni40In10,,nan T,378,1605,4533
Mn47Co3Ni40In10,29.7,2 T,Close to RT,1605,4539
Co-2(Cr1-xFex)Al (x=0),10.77,20 kOe,,1606,479
Co-2(Cr1-xFex)Al (x=1),17.46,20 kOe,,1606,480
HoFeO3 single crystal,19.2,7 T,,1607,2481
HoFeO3 single crystal,15.8,7 T,,1607,2482
Dy3NiSi3,-1.2,50 kOe,140,1611,760
Gd5Ge4,,50 kOe,1200,1611,1911
MnFeP0.45As0.55,3.2,50 kOe,,1611,4711
Ni45Co5Mn40Sn10,10,50 kOe,420,1611,5293
Co-2(OH)(4-x)Cl-x (Co/Cl > 2.5),8.3,20 kOe,,1617,481
Nd0.6La0.01Sr0.3MnO3,3.14,1.5 T,,1620,4831
ErNi2 ribbons,24.1 (for mu(0)Delta H = 5 T),5 T,6.8,1621,1040
La0.7Ca0.3-xBaxMnO3,11-6?,50 kOe,260-300,1622,3333
NdNi4Si,-3.3,50 kOe,12,1624,4955
La0.7Sr0.3MnO3(x=0),2.3,5 T,338,1625,3522
La0.7Sr0.3MnO3(x=0.01),2.08,5 T,336,1625,3523
La0.7Sr0.3MnO3(x=0.03),1.83,5 T,332,1625,3524
La0.7Sr0.3MnO3(x=0.05),1.33,5 T,328,1625,3525
Nd6Fe13Pd0.8Ge0.2,1.92,5 T,,1626,4888
Nd6Fe13Pd0.9Ge0.1,3.73,5 T,,1626,4892
ErNi2Si,13.9,50 kOe,7,1627,1046
HoNi2Si,-15.6,50 kOe,9,1627,2518
Gd25Co25Al25Y15Dy10,6.76,,40,1628,1700
Gd25Co25Al25Y15Er10,,,40,1628,1701
Gd25Co25Al25Y15Ho10,7.35,,40,1628,1702
Gd25Co25Al25Y25,,,40,1628,1703
Ni47Mn38Fe21In13(x=1),50,5.0 T,,1632,5349
MnFe4Si3,Enhanced but modest,nan T,,1633,4709
Ni42Fe8Mn40Sn10,11,5 T,330-340,1637,5184
Ni44Fe6Mn40Sn10,10,5 T,280-290,1637,5255
Ni46Fe4Mn40Sn10,10,5 T,300-310,1637,5333
Ni48Fe2Mn40Sn10,9,5 T,310-320,1637,5385
Dy5Si3,,nan T,137,1638,770
(Gd4Co3)(100) B-0,6.7,5 T,,1639,109
(Gd4Co3)(100) B-5,7.8,5 T,,1639,110
La0.7Ca0.3MnO3 single crystal,6.42,5 T,227,1642,3391
Zn0-Ni0.6Cu0.4Fe2O4,1.61,5 T,705,1643,6469
Zn0.6-Ni0.4Cu0.4Fe2O4,1.16,5 T,305,1643,6473
Ho3Pd2,18.3, '0-5' T,9.6,1644,2380
Ni49CoMn35In15 Ribbon,5.35,1 T,,1645,5410
Gd1-xHox (x = 0.20),4.17,2 T,,1646,1664
DyMnO3,8.93,50 kOe,14,1648,841
EuMnO3,9.31,50 kOe,50,1648,1129
Ni46Co3Mn37In10Ge4,22.8,5 T,,1649,5326
HoNi0.9Cu0.1Al,-10.3 (0-20 kOe),20 kOe,5.7,1650,2511
HoNi0.9Cu0.1Al,-23.5 (0-50 kOe),50 kOe,11.8,1650,2512
Er2Cu2Cd,19.1,7 T,36,1651,917
Gd2Cu2Cd,10.1,7 T,120,1651,1724
La0.67Ca0.33Mn0.9Fe0.1O3,1.18,3 T,113,1652,3026
Ni50Mn35Sn15,>1,12 kOe,,1653,5508
ErFeSi,23.1,5 T,22,1656,1021
Fe,1.9,1 T,1043,1656,1167
Gd,10.7,2 T,293,1656,1500
Ni,2.5,1 T,631,1656,4967
LNSMO,1.1,1.5 T,,1657,2572
LNSMO/5CuO,2.55,1.5 T,,1657,2573
EuTi0.95Mn0.05O3,11.1,"1, 2 T",,1660,1150
EuTi0.975Mn0.025O3,11.7,1 T,,1660,1154
Ni41Co6Fe3Mn40Sn10,1.2,nan T,205,1663,5163
Ni41Co7Fe2Mn40Sn10,1.8,nan T,215,1663,5164
Ni41Co8FeMn40Sn10,2.4,nan T,225,1663,5166
Ni41Co9-0FeMn40Sn10,2.5,nan T,235,1663,5167
Tb0.25Ho0.75Ni2,13.9,5.0 T,18.6,1664,6179
Tb0.5Ho0.5Ni2,,nan T,25.2,1664,6181
Tb0.75Ho0.25Ni2,19.5,5.0 T,31.1,1664,6187
Co35Er65 ribbon,5.97,0-5 T,10,1666,520
Gd55Co20Fe5Al20-0Si,8.01,5 T,,1668,1877
Gd2CoMn1-TiO6 (x=0),16.64,6 T,,1670,1718
Gd2CoTiO6 (x=1.0),27.16,6 T,,1670,1723
gamma-Fe49Ni29Cr22,1.8,5 T,124.82,1672,6575
Mn39.5Fe8.5Ni41Sn11,1.02,14 kOe,305,1673,4486
La-0.7(Te1-0.3Pb0.3)MnO3,4.76,5 T,262,1674,2682
La-0.7(Te1-0Pb0.3)MnO3,7.16,5 T,238,1674,2683
La0.8Ce0.2Fe11.47Mn0.23Si1.3,10.99,1.5 T,,1677,3651
Ho0.90Y0.10(Co0.84Fe0.16)2,,nan kOe,265,1678,2292
Ho0.92Y0.08(Co0.84Fe0.16)2,,nan kOe,202,1678,2293
Ho0.94Y0.06(Co0.84Fe0.16)2,,nan kOe,132,1678,2294
Ho0.96Y0.04(Co0.84Fe0.16)2,,nan kOe,94,1678,2295
Ho0.98Y0.02(Co0.84Fe0.16)2,,nan kOe,65,1678,2296
Ni34Mn36Co15Ti15 (x = 0),11.3,nan T,,1681,5107
Gd5Si4,,5 T,336 (reduced to 330 K),1682,1967
Dy12Co7,10,0-5 T,64,1685,696
FeRh,12,0-2 T,Unknown,1685,1469
MnFeP0.45Si0.55,Unknown,Unknown T,370,1685,4714
Er-2CrMnO6,12.94,7 T,5.2,1686,892
Ho2CrMnO6,11.03,7 T,6.1,1686,2334
DyZn,12.2,0-7 T,135,1688,884
-Delta s=25.6 (p=0), 45.6J/kg K (p=190MPa),2 T,,1689,264
Fe85Nd5Zr10,> 1.6,12 kOe,262-350,1691,1391
Fe86Nd4Zr10,> 1.6,12 kOe,262-350,1691,1400
Fe87Nd3Zr10,> 1.6,12 kOe,262-350,1691,1410
Fe88Nd2Zr10,> 1.6,12 kOe,262-350,1691,1425
Fe89Nd1Zr10,> 1.6,12 kOe,262-350,1691,1429
La0.7Sr0.3Mn0.95Co0.05,-1.17,15 kOe,300,1692,3472
La0.7Sr0.3Mn0.9Co0.1,-0.92,15 kOe,260,1692,3484
La0.7Sr0.3Mn1Co0,-1.36,15 kOe,338,1692,3509
Gd(70)Al(20)Fe(10),7.14,0-5 T,149,1693,1537
Er6MnBi2,10.6,,98,1696,968
Ho3Er3MnBi2,7.3,,147,1696,2375
Ho6MnBi2,5,,201,1696,2409
Mn(1.1)Fe(0.9)P(0.8)Ge(0.2),49.2,5 T,253,1698,4250
Fe77.5Cr3.5Nb7B12,,nan T,279,1700,1346
Fe81Nb7B12,0.7,0.7 T,363,1700,1377
Dy2CoMnO6 (DCMO),2.53 (at h = 1 T) to 5.63 (at h = 5 T),1 to 5 T,82,1703,712
Er3Pd2,8.9,50 kOe,10,1704,948
Ni50Mn29Ga21 ribbon,-9.2,nan kOe,,1705,5458
LaSrMn2O5 (x=0.1),0.7,5 T,,1706,4173
LaSrMn2O5 (x=0.2),0.75,5 T,,1706,4174
La0.8Cd0.125K0.075MnO3,3.25,2 T,271,1708,3638
La0.8Cd0.15K0.05MnO3,3.25,2 T,260,1708,3639
La0.8Cd0.1K0.1MnO3,3.25,2 T,282,1708,3640
LaMn2Ge2 (bulk),1.65,2 T,320,1709,4157
LaMn2Ge2 (bulk),3.26,5 T,320,1709,4158
LaMn2Ge2 (melt-spun),1.21,2 T,320,1709,4159
LaMn2Ge2 (melt-spun),2.6,5 T,320,1709,4160
HoCo2 nanoparticles,19.4,7 T,78,1710,2440
KTm(MoO4)2,9.8,5 T,,1713,2559
La0.6Pr0.1Ba0.3MnO3,4,5.0 T,,1716,3148
La0.7Ba0.3MnO3,4,nan T,Room temperature,1716,3279
10 nm amorphous particles,,nan T,40 (sharpest transition),1720,271
130 nm nanocrystals,2.8,5.0 T,255,1720,272
Pr2Fe17-0Mn,5.66,5 T,283,1721,5929
Pr2Fe17-1Mn,5.07,5 T,294,1721,5931
Pr2Fe17-2Mn,4.31,5 T,285,1721,5932
Ho-6(Mn0.25Fe0.25)Bi-2,3.4-5.7,5 T,220-240,1722,2275
Ho-6(Mn0.5Fe0.6)Bi-2,3.4-5.7,5 T,250-280,1722,2276
Ho6FeBi2,3.4-5.7,5 T,320-360,1722,2407
Ho6MnBi2,3.4-5.7,5 T,240-260,1722,2410
Nd2In,13.2,7 T,,1723,4865
Pr2In,19.5,7 T,,1723,5935
Mn0.98Cr0.0190Fe0.0010As,-11,15 kOe,Room temperature,1724,4339
Mn0.98Cr0.0195Fe0.0005As,-11,15 kOe,Room temperature,1724,4340
Mn0.98Cr0.0198Fe0.0002As,-11,15 kOe,Room temperature,1724,4341
Cu(18)Al(25)Ho(57),24.8,0-7 T,22.2,1728,623
Cu18Al25Tm57,20.9,0-7 T,4.9,1728,635
PrCr0.85Mn0.15O3,,nan T,168,1731,5969
Gd(Fe0.15Al0.85)2,8.4,,Lowest value mentioned,1732,1541
Pr0.5Sr0.5-0.1Ce0.1MnO3,-1.93,15 kOe,310,1733,5732
Mn50Ni30In20,50,0.5 T,400,1734,4559
Mn50Ni35In15,,0.6 T,410,1734,4564
Mn50Ni40In10,40,0.7 T,420,1734,4584
Mn50Ni41In9,,0.8 T,430,1734,4591
Mn50Ni42In8,,0.9 T,440,1734,4594
Mn50Ni43In7,,1.0 T,450,1734,4595
Mn50Ni44In6,,1.1 T,460,1734,4596
Mn50Ni45In5,,1.2 T,470,1734,4597
Mn50Ni46In4,,1.3 T,480,1734,4598
Mn50Ni47In3,,1.4 T,490,1734,4599
Mn50Ni48In2,,1.5 T,500,1734,4600
Mn50Ni49In1,,1.6 T,510,1734,4601
Mn50Ni50,,1.7 T,520,1734,4602
AlFe2B2,-1.3,,285,1736,309
AlCMn3,3.28,4.5 T,287,1738,303
La0.6Ca0.2Na0.2MnO3,#NAME?,mu H-0 T,275,1740,3111
LaFe10.7Co0.8Si1.5,7.1,2 T,,1741,3925
La0.70Sr0.21K0.09MnO3,0.77,nan T,295,1742,3201
MnBi,14,2 T,633,1747,4651
Ni-Mn-Ga-Sn/Sb alloys,>= 1.2,,,1748,5007
(La0.7Sm0.3)(0.67)Ba(0.33)MnO(3),2.12,4.8 T,160,1750,148
La0.57Nd0.1Pb0.33Mn0.9Ti0.1O3,4.85-5.2,5 T,300-280,1751,2767
MnNiGa-based,2.4,3 T,,1753,4739
Ni7Cu3 alloy,1.3 (at 5T)/ 1.1 (at 4T)/ 0.8 (at 3T)/ 0.6 (at 2T)/ 0.3 (at 1T),1/ 2/ 3/ 4/ 5 T,293.7,1754,5611
MnFeCoNiGeSi,-13.67,0-5 T,,1755,4710
Mn1.2Fe0.8P0.4Si0.6B0.03,163,2 T,176,1758,4429
Mn1.2Fe0.8P0.5Si0.5B0.03,8.7,2 T,280,1758,4431
GdNi2Mn0.4,4.6,9 T,190,1759,2188
ErNiBC,24.8,0-50 kOe,5,1761,1050
Fe81Pt5Zr7Nb1Cu1B5,0.85,,(370 +/- 1),1762,1378
Fe86Zr7Nb1Cu1B5,0.51,,(330 +/- 1),1762,1404
Tm4PdMg,18,7 T,6,1763,6370
Tm4PtMg,16.5,7 T,4.5,1763,6371
Er20Dy20Co20Al20Gd20,9.1,5 T,13,1764,906
Er20Dy20Co20Al20Tb20,8.6,5 T,30,1764,907
Er20Dy20Co20Al20Tm20,11.9,5 T,43,1764,908
CoMn0.875Cr0.1Ge,3.82,7 T,,1765,555
FeNi coated LaFe11.6Si1.4/Sn,13.3,2 T,,1770,1465
LaFe11.6Si1.4/Sn composites,10.65,2 T,,1770,4066
HoCo3B2,7.8 (0-2 T), 0-2 T T,11.8 (Tc),1771,2442
HoCo3B2,12.7 (0-5 T), 0-5 T T,11.8 (Tc),1771,2443
HoCo3B2,14.4 (0-7 T), 0-7 T T,11.8 (Tc),1771,2444
La0.8Nd0.2Fe11.5Al1.5,4.6,50 kOe,,1772,3711
La0.9Nd0.1Fe11.5Al1.5,5.4,50 kOe,,1772,3775
LaFe11.5-xCrxSi1.5,~21,nan T,185-193,1773,3990
LaFe11.5-xNixSi1.5,,nan T,193-206,1773,3991
Ni41Ti1Co9Mn39Sn10 alloy,18.7,5 T,,1774,5174
Fe40Ni38Mo4B18,,nan T,610,1776,1252
(La0.8Ca0.2Mn0.99Fe0.01O3)-Fe-57,1.25,13 kOe,160,1777,155
MnCoGe1-0.01La,1.53,1.5 T,281,1778,4689
MnCoGe1-0.03La,1.56,1.5 T,278,1778,4690
MnCoGe1-0La,1.64,1.5 T,294,1778,4691
(Fe(0.402)Co(0.201)Ni(0.067)Bo(0.227)Si(0.053)Nb(0.05))100-0.5Cu0.5,0.62,2 T,,1779,51
(Fe(0.402)Co(0.201)Ni(0.067)Bo(0.227)Si(0.053)Nb(0.05))100-0.75Cu0.25,1.05,2 T,526,1779,52
(Fe(0.402)Co(0.201)Ni(0.067)Bo(0.227)Si(0.053)Nb(0.05))100-0Cu0,1.25,2 T,,1779,53
(Fe(0.402)Co(0.201)Ni(0.067)Bo(0.227)Si(0.053)Nb(0.05))100-1Cu1,1.16,2 T,526),1779,54
Ni55Mn20Ga25,-7,1.2 T,375,1788,5598
DyNiBC,17.4,0-5 T,,1790,859
HoNiBC,21.5,0-5 T,Below TN (antiferromagnetic to ferromagnetic),1790,2522
TbNiBC,20.8,0-5 T,,1790,6331
Gd2NiMn1-xTixO6(x=0),23.33,6 T,,1791,1745
Gd2NiMn1-xTixO6(x=0.4),13.7,6 T,,1791,1746
Gd2NiMn1-xTixO6(x=1),27.57,6 T,,1791,1747
Ho36Co48Al16 alloy,8.5,0-5 T,,1792,2367
Ho36Co48Al16 alloy,2.9,0-2 T,,1792,2368
Fe75Zr4Ti3Cu1B17,1.7,nan T,455,1793,1340
